                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.89921,                0.74145,                 1.2163,                0.93473,                0.87392,                0.93091,                0.73839,                0.78505,                0.50476,                 1.1285,               0.008416,               0.008416,               0.008416
                     50,                0.89117,                0.73442,                 1.2149,                0.93826,                0.87411,                0.93277,                0.73958,                0.77762,                0.49286,                 1.1137,               0.008383,               0.008383,               0.008383
                     51,                0.88966,                0.72143,                 1.2101,                0.93904,                0.87211,                0.93388,                0.74718,                0.77245,                0.48697,                 1.1109,                0.00835,                0.00835,                0.00835
                     52,                0.87692,                0.71636,                  1.204,                0.94382,                0.87297,                0.93511,                0.74648,                0.76921,                0.48435,                 1.1167,               0.008317,               0.008317,               0.008317
                     53,                0.88006,                0.71893,                 1.2047,                0.93323,                0.87929,                0.93104,                 0.7447,                 0.7717,                0.48434,                 1.1119,               0.008284,               0.008284,               0.008284
                     54,                 0.8796,                0.71556,                 1.2017,                0.94711,                0.86674,                0.93456,                 0.7513,                0.76026,                0.47649,                 1.1034,               0.008251,               0.008251,               0.008251
                     55,                0.87437,                0.70557,                 1.1994,                0.93676,                0.87128,                0.93563,                0.75313,                0.75131,                0.47291,                 1.0942,               0.008218,               0.008218,               0.008218
                     56,                0.87526,                0.70789,                 1.2034,                0.93889,                0.88159,                0.93842,                0.75057,                0.75998,                0.47373,                  1.099,               0.008185,               0.008185,               0.008185
                     57,                0.88006,                0.71139,                 1.2021,                0.94104,                0.87575,                0.93374,                0.75315,                0.75345,                 0.4742,                 1.0953,               0.008152,               0.008152,               0.008152
                     58,                 0.8624,                0.69908,                 1.1879,                0.94281,                 0.8782,                0.93497,                0.75298,                0.75011,                0.46868,                 1.0951,               0.008119,               0.008119,               0.008119
                     59,                0.86283,                0.69636,                 1.1929,                0.94187,                 0.8788,                0.93566,                0.75672,                0.73836,                0.45915,                 1.0836,               0.008086,               0.008086,               0.008086
                     60,                0.85801,                 0.6925,                 1.1891,                0.95087,                 0.8794,                0.94008,                0.76218,                0.72688,                 0.4544,                 1.0783,               0.008053,               0.008053,               0.008053
                     61,                0.85511,                0.68965,                 1.1872,                0.95458,                0.87936,                0.93888,                 0.7629,                0.72689,                0.44896,                  1.071,                0.00802,                0.00802,                0.00802
                     62,                0.84739,                0.68862,                  1.183,                0.94689,                0.88039,                0.93727,                0.76287,                0.73186,                0.45315,                 1.0768,               0.007987,               0.007987,               0.007987
                     63,                0.85657,                0.68391,                 1.1847,                0.96895,                0.86333,                0.93844,                0.76734,                0.71618,                0.44902,                 1.0692,               0.007954,               0.007954,               0.007954
                     64,                0.85515,                0.68521,                 1.1879,                0.94774,                 0.8763,                0.93964,                0.76653,                0.72246,                0.44468,                 1.0714,               0.007921,               0.007921,               0.007921
                     65,                0.84659,                0.67785,                 1.1808,                0.94934,                 0.8882,                 0.9409,                0.76732,                0.71635,                0.44007,                 1.0684,               0.007888,               0.007888,               0.007888
                     66,                0.84487,                0.67494,                 1.1817,                0.94543,                 0.8905,                0.94141,                0.77032,                0.71478,                0.44207,                 1.0673,               0.007855,               0.007855,               0.007855
                     67,                0.84051,                0.66985,                 1.1739,                0.94884,                0.88949,                0.93975,                0.76905,                0.71122,                0.43668,                 1.0631,               0.007822,               0.007822,               0.007822
                     68,                0.84006,                0.67005,                 1.1754,                0.94757,                0.89066,                0.94093,                0.77071,                0.70792,                0.43538,                 1.0646,               0.007789,               0.007789,               0.007789
                     69,                0.83727,                 0.6667,                 1.1781,                0.95234,                0.88845,                  0.939,                0.77088,                0.69853,                0.43951,                 1.0597,               0.007756,               0.007756,               0.007756
                     70,                0.83491,                0.67085,                 1.1774,                0.95852,                0.88319,                 0.9411,                0.77315,                0.69607,                0.43435,                  1.053,               0.007723,               0.007723,               0.007723
                     71,                0.83381,                0.66569,                  1.169,                 0.9509,                0.88821,                0.94142,                0.77493,                0.69492,                0.43243,                 1.0506,                0.00769,                0.00769,                0.00769
                     72,                0.81983,                0.65467,                 1.1672,                0.96371,                0.88331,                0.94369,                0.77749,                0.69349,                0.42232,                 1.0486,               0.007657,               0.007657,               0.007657
                     73,                0.82437,                0.65402,                 1.1683,                0.94798,                0.89465,                0.94198,                0.77869,                0.68403,                0.42227,                 1.0404,               0.007624,               0.007624,               0.007624
